         28168542 function calls (22884050 primitive calls) in 22.409 seconds

   Ordered by: cumulative time
   List reduced from 1950 to 45 due to restriction <45>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.001    0.001    2.656    2.656 /Users/nandaraghunathan/Code/Memorii/Memorii/memorii/memorii/core/semantic_ingestion/source_normalization_repository.py:299(normalize)
        1    0.000    0.000    2.656    2.656 /Users/nandaraghunathan/Code/Memorii/Memorii/memorii/memorii/core/semantic_ingestion/source_normalization_repository.py:74(publish_and_reload)
  9709284    2.392    0.000    2.549    0.000 {built-in method builtins.isinstance}
       96    0.006    0.000    2.494    0.026 /Users/nandaraghunathan/Code/Memorii/Memorii/memorii/memorii/core/memory_evolution/ingestion_contracts.py:903(_strict_json)
        1    0.001    0.001    2.342    2.342 /Users/nandaraghunathan/Code/Memorii/Memorii/memorii/memorii/core/semantic_ingestion/bootstrap_graph_coordinator.py:462(_finalize_attempt)
        1    0.000    0.000    2.197    2.197 /Users/nandaraghunathan/Code/Memorii/Memorii/memorii/memorii/core/memory_evolution/atomic_store.py:4210(reload_bootstrap_recovery_replay_v3)
      114    0.002    0.000    2.170    0.019 /Users/nandaraghunathan/Code/Memorii/Memorii/.venv/lib/python3.12/site-packages/pydantic/main.py:632(model_rebuild)
       66    0.010    0.000    2.167    0.033 /Users/nandaraghunathan/Code/Memorii/Memorii/.venv/lib/python3.12/site-packages/pydantic/_internal/_model_construction.py:600(complete_model_class)


         28168542 function calls (22884050 primitive calls) in 22.409 seconds

   Ordered by: internal time
   List reduced from 1950 to 45 due to restriction <45>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
  9709284    2.392    0.000    2.549    0.000 {built-in method builtins.isinstance}
898839/193407    1.352    0.000    4.867    0.000 /Users/nandaraghunathan/Code/Memorii/Memorii/memorii/memorii/core/memory_evolution/ingestion_contracts.py:856(_json)
