         52335252 function calls (40456854 primitive calls) in 39.546 seconds

   Ordered by: cumulative time
   List reduced from 1920 to 45 due to restriction <45>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       24    0.002    0.000    3.930    0.164 /Users/nandaraghunathan/Code/Memorii/Memorii/memorii/memorii/core/semantic_ingestion/source_normalization_repository.py:214(decode_bounded)
        1    0.001    0.001    3.922    3.922 /Users/nandaraghunathan/Code/Memorii/Memorii/memorii/memorii/core/semantic_ingestion/source_normalization_stage.py:259(build_request)
   753187    0.592    0.000    3.580    0.000 /Users/nandaraghunathan/Code/Memorii/Memorii/memorii/memorii/core/memory_evolution/ingestion_contracts.py:846(<lambda>)
        1    0.000    0.000    2.919    2.919 /Users/nandaraghunathan/Code/Memorii/Memorii/memorii/memorii/core/semantic_ingestion/bootstrap_graph_terminal_preparation.py:288(prepare)
        1    0.000    0.000    2.897    2.897 /Users/nandaraghunathan/Code/Memorii/Memorii/memorii/memorii/core/semantic_ingestion/bootstrap_graph_repository.py:176(publish_or_reload)
       80    0.003    0.000    2.856    0.036 /Users/nandaraghunathan/Code/Memorii/Memorii/memorii/memorii/core/semantic_ingestion/contracts.py:138(_revalidated_contract_instance)
        1    0.000    0.000    2.814    2.814 /Users/nandaraghunathan/Code/Memorii/Memorii/memorii/memorii/core/semantic_ingestion/bootstrap_graph_repository.py:312(commit_or_reload)


         52335252 function calls (40456854 primitive calls) in 39.546 seconds

   Ordered by: internal time
   List reduced from 1920 to 45 due to restriction <45>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
4064142/872769    6.709    0.000   23.017    0.000 /Users/nandaraghunathan/Code/Memorii/Memorii/memorii/memorii/core/memory_evolution/ingestion_contracts.py:714(_json)
 18774846    4.320    0.000    4.490    0.000 {built-in method builtins.isinstance}
  3328608    3.469    0.000    6.971    0.000 /Users/nandaraghunathan/Code/Memorii/Memorii/memorii/memorii/core/memory_evolution/ingestion_contracts.py:703(_json_string)
798243/5588    2.803    0.000    8.782    0.002 /Users/nandaraghunathan/Code/Memorii/Memorii/memorii/memorii/core/memory_evolution/ingestion_contracts.py:783(_normalized_typed_json)
1305631/7218    2.329    0.000   19.525    0.003 {method 'join' of 'bytes' objects}
  3328608    2.300    0.000    2.300    0.000 {method 'search' of 're.Pattern' objects}
3620977/35741    1.944    0.000   19.367    0.001 /Users/nandaraghunathan/Code/Memorii/Memorii/memorii/memorii/core/memory_evolution/ingestion_contracts.py:729(<genexpr>)
  4448043    1.631    0.000    1.631    0.000 {method 'encode' of 'str' objects}
595467/4291    1.233    0.000    2.371    0.001 /Users/nandaraghunathan/Code/Memorii/Memorii/memorii/memorii/core/semantic_ingestion/contracts.py:121(canonical_contract_value)
2902/1866    0.968    0.000   14.879    0.008 {method 'validate_python' of 'pydantic_core._pydantic_core.SchemaValidator' objects}
377824/55944    0.952    0.000    1.254    0.000 /Users/nandaraghunathan/Code/Memorii/Memorii/.venv/lib/python3.12/site-packages/pydantic/main.py:1164(__eq__)
436022/408933    0.904    0.000    6.668    0.000 {built-in method builtins.sorted}
      428    0.749    0.002    0.765    0.002 /Users/nandaraghunathan/Code/Memorii/Memorii/.venv/lib/python3.12/site-packages/pydantic/plugin/_schema_validator.py:22(create_schema_validator)
436215/428    0.708    0.000    1.073    0.003 /Users/nandaraghunathan/Code/Memorii/Memorii/.venv/lib/python3.12/site-packages/pydantic/_internal/_schema_gather.py:96(traverse_schema)
