         67092853 function calls (53955639 primitive calls) in 261.939 seconds

   Ordered by: cumulative time
   List reduced from 1915 to 45 due to restriction <45>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   581378   12.195    0.000   31.347    0.000 /Users/nandaraghunathan/Code/Memorii/Memorii/memorii/memorii/core/semantic_ingestion/contracts.py:163(<genexpr>)
    43850    0.196    0.000   28.227    0.001 /Users/nandaraghunathan/Code/Memorii/Memorii/memorii/memorii/core/semantic_ingestion/contracts.py:4095(validate_content_digest)
       28    0.002    0.000   27.700    0.989 /Users/nandaraghunathan/Code/Memorii/Memorii/memorii/memorii/core/semantic_ingestion/source_normalization_stage.py:370(<genexpr>)
       96    0.029    0.000   27.473    0.286 /Users/nandaraghunathan/Code/Memorii/Memorii/memorii/memorii/core/memory_evolution/ingestion_contracts.py:912(decode_typed_value)
        2    0.003    0.002   25.840   12.920 /Users/nandaraghunathan/Code/Memorii/Memorii/memorii/memorii/core/semantic_ingestion/contracts.py:12320(validate_bootstrap_v3_closure)
        1    0.001    0.001   24.886   24.886 /Users/nandaraghunathan/Code/Memorii/Memorii/memorii/memorii/core/semantic_ingestion/bootstrap_graph_repository.py:176(publish_or_reload)
        1    0.003    0.003   24.152   24.152 /Users/nandaraghunathan/Code/Memorii/Memorii/memorii/memorii/core/memory_evolution/atomic_store.py:4490(publish_or_reload_bootstrap_graph_transaction_authority_v3)


         67092853 function calls (53955639 primitive calls) in 261.939 seconds

   Ordered by: internal time
   List reduced from 1915 to 45 due to restriction <45>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
4635023/1264146   36.666    0.000  126.773    0.000 /Users/nandaraghunathan/Code/Memorii/Memorii/memorii/memorii/core/memory_evolution/ingestion_contracts.py:714(_json)
  3961297   21.582    0.000   42.849    0.000 /Users/nandaraghunathan/Code/Memorii/Memorii/memorii/memorii/core/memory_evolution/ingestion_contracts.py:703(_json_string)
 21637571   19.709    0.000   20.805    0.000 {built-in method builtins.isinstance}
581257/121   15.739    0.000   41.726    0.345 /Users/nandaraghunathan/Code/Memorii/Memorii/memorii/memorii/core/memory_evolution/ingestion_contracts.py:878(walk)
  3961297   14.738    0.000   14.738    0.000 {method 'search' of 're.Pattern' objects}
1379293/7680   13.275    0.000   97.567    0.013 {method 'join' of 'bytes' objects}
848795/6030   12.470    0.000   42.083    0.007 /Users/nandaraghunathan/Code/Memorii/Memorii/memorii/memorii/core/memory_evolution/ingestion_contracts.py:783(_normalized_typed_json)
   581378   12.195    0.000   31.347    0.000 /Users/nandaraghunathan/Code/Memorii/Memorii/memorii/memorii/core/semantic_ingestion/contracts.py:163(<genexpr>)
  5829926   10.046    0.000   10.046    0.000 {method 'encode' of 'str' objects}
3824425/37705    9.933    0.000   96.273    0.003 /Users/nandaraghunathan/Code/Memorii/Memorii/memorii/memorii/core/memory_evolution/ingestion_contracts.py:729(<genexpr>)
   581257    8.499    0.000    8.499    0.000 <string>:2(__init__)
   586964    7.127    0.000    7.127    0.000 {built-in method _hashlib.openssl_sha256}
512613/484948    6.567    0.000   37.017    0.000 {built-in method builtins.sorted}
645648/4723    5.385    0.000   10.062    0.002 /Users/nandaraghunathan/Code/Memorii/Memorii/memorii/memorii/core/semantic_ingestion/contracts.py:121(canonical_contract_value)
3105/1899    5.256    0.002   88.065    0.046 {method 'validate_python' of 'pydantic_core._pydantic_core.SchemaValidator' objects}
420637/62698    4.425    0.000    5.846    0.000 /Users/nandaraghunathan/Code/Memorii/Memorii/.venv/lib/python3.12/site-packages/pydantic/main.py:1164(__eq__)
      428    3.870    0.009    3.906    0.009 /Users/nandaraghunathan/Code/Memorii/Memorii/.venv/lib/python3.12/site-packages/pydantic/plugin/_schema_validator.py:22(create_schema_validator)
   586964    3.861    0.000    3.861    0.000 {method 'hexdigest' of '_hashlib.HASH' objects}
924045/17940    3.568    0.000   97.377    0.005 /Users/nandaraghunathan/Code/Memorii/Memorii/memorii/memorii/core/memory_evolution/ingestion_contracts.py:739(<genexpr>)
436215/428    3.227    0.000    4.485    0.010 /Users/nandaraghunathan/Code/Memorii/Memorii/.venv/lib/python3.12/site-packages/pydantic/_internal/_schema_gather.py:96(traverse_schema)
   801318    3.138    0.000   17.614    0.000 /Users/nandaraghunathan/Code/Memorii/Memorii/memorii/memorii/core/memory_evolution/ingestion_contracts.py:846(<lambda>)
   360324    2.774    0.000    4.176    0.000 /Users/nandaraghunathan/Code/Memorii/Memorii/memorii/memorii/core/memory_evolution/ingestion_contracts.py:743(_validated_keys)
   924045    2.558    0.000    7.998    0.000 /Users/nandaraghunathan/Code/Memorii/Memorii/memorii/memorii/core/memory_evolution/ingestion_contracts.py:735(<genexpr>)
  1373488    2.343    0.000    4.023    0.000 /Users/nandaraghunathan/Code/Memorii/Memorii/memorii/memorii/core/memory_evolution/ingestion_contracts.py:875(write)
  1688624    2.151    0.000    2.173    0.000 {built-in method builtins.getattr}
  1415092    1.851    0.000    1.851    0.000 {method 'append' of 'list' objects}
   924045    1.765    0.000    2.149    0.000 /Users/nandaraghunathan/Code/Memorii/Memorii/memorii/memorii/core/memory_evolution/ingestion_contracts.py:731(<genexpr>)
313609/310991    1.699    0.000    4.086    0.000 {built-in method builtins.any}
  1373488    1.680    0.000    1.680    0.000 {method 'extend' of 'bytearray' objects}
254827/181    1.669    0.000    2.337    0.013 /Users/nandaraghunathan/Code/Memorii/Memorii/memorii/memorii/core/semantic_ingestion/contracts.py:13089(restore_closed_wire_enums)
105058/96    1.553    0.000    4.006    0.042 /Users/nandaraghunathan/Code/Memorii/Memorii/memorii/memorii/core/memory_evolution/ingestion_contracts.py:920(_decode_typed_value)
1288611/1288551    1.267    0.000    1.267    0.000 {built-in method builtins.len}
   560474    1.162    0.000    2.244    0.000 /Users/nandaraghunathan/Code/Memorii/Memorii/memorii/memorii/core/memory_evolution/ingestion_contracts.py:692(_scalar)
   825109    1.039    0.000    1.046    0.000 {method 'get' of 'dict' objects}
